,City,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
468,tooele,us,40.53,-112.3,54.88,34.0,1.0,5.82
469,rawson,ar,-43.3,-65.11,46.93,64.0,0.0,9.64
470,lugazi,ug,0.37,32.94,69.8,94.0,75.0,2.15
472,bethanien,na,-26.5,17.16,48.37,31.0,0.0,0.69
473,birjand,ir,32.86,59.22,59.0,62.0,0.0,9.17
474,angoche,mz,-16.23,39.91,80.23,100.0,44.0,18.14
475,takoradi,gh,4.89,-1.75,79.96,99.0,44.0,7.18
476,hirara,jp,24.8,125.28,80.6,83.0,75.0,18.34
477,shawville,ca,45.61,-76.49,41.98,59.0,0.0,3.15
478,tsiroanomandidy,mg,-18.77,46.05,50.08,86.0,0.0,2.71
479,uryupinsk,ru,50.8,42.01,31.81,72.0,0.0,10.2
480,muscat,om,23.6,58.55,82.4,65.0,0.0,4.7
481,el coyote,mx,24.99,-99.52,71.86,93.0,92.0,4.94
483,rocha,uy,-34.48,-54.34,66.55,98.0,92.0,6.96
484,krasnyy chikoy,ru,50.36,108.75,63.22,45.0,0.0,4.05
485,lompoc,us,34.64,-120.46,53.6,93.0,90.0,3.36
486,berkeley heights,us,40.68,-74.44,48.92,81.0,1.0,4.61
487,leshukonskoye,ru,64.9,45.76,21.73,82.0,8.0,2.48
489,mehran,ir,33.12,46.17,50.0,71.0,0.0,4.7
490,itupiranga,br,-5.13,-49.33,78.8,100.0,75.0,4.7
491,ipixuna,br,-1.76,-48.8,75.2,94.0,0.0,2.24
492,honningsvag,no,70.98,25.97,37.4,94.0,75.0,16.11
493,alakurtti,ru,66.96,30.34,33.07,91.0,88.0,5.39
494,pedernales,ec,0.07,-80.05,72.76,91.0,48.0,2.15
495,touros,br,-5.2,-35.46,79.33,89.0,92.0,11.43
496,sangueya,gn,10.7,-14.37,74.47,88.0,44.0,5.06
497,rudnogorsk,ru,57.27,103.75,43.15,93.0,80.0,4.27
498,dukuhturi,id,-7.24,109.01,83.65,79.0,20.0,2.93
499,hue,vn,16.47,107.58,93.2,63.0,0.0,3.36
500,udachnyy,ru,66.42,112.4,17.14,57.0,68.0,10.2
501,ormara,pk,25.21,64.64,76.9,89.0,0.0,9.42
502,farafangana,mg,-22.82,47.83,72.4,100.0,92.0,13.11
503,reitz,za,-27.8,28.43,39.91,73.0,0.0,2.59
504,troy,us,42.73,-73.69,47.28,26.0,40.0,14.99
505,itamaraca,br,-7.75,-34.83,76.03,88.0,75.0,6.93
507,ostrovnoy,ru,68.05,39.51,19.75,87.0,20.0,9.53
509,morant bay,jm,17.88,-76.41,80.6,83.0,40.0,9.17
510,matara,lk,5.95,80.54,82.75,100.0,12.0,4.16
512,huarmey,pe,-10.07,-78.15,67.99,77.0,92.0,2.71
513,dubrovnik,hr,42.65,18.09,57.43,93.0,0.0,4.7
514,beringovskiy,ru,63.05,179.32,28.3,97.0,92.0,23.29
515,gap,fr,44.56,6.08,43.78,89.0,0.0,2.15
516,luderitz,na,-26.65,15.16,55.12,91.0,0.0,5.95
517,yashan,cn,30.81,118.02,60.07,88.0,32.0,6.96
519,urucara,br,-2.54,-57.76,73.66,100.0,80.0,1.81
520,fethiye,tr,36.62,29.12,48.2,93.0,0.0,4.7
521,mayo,ca,63.59,-135.9,50.0,34.0,75.0,8.05
522,nieves,mx,24.0,-103.02,70.6,33.0,88.0,8.97
523,sayyan,ye,15.17,44.32,49.0,89.0,8.0,1.14
524,san cristobal,ec,-1.02,-79.44,61.78,100.0,92.0,0.92
525,tulun,ru,54.56,100.58,63.76,61.0,8.0,4.27
528,namatanai,pg,-3.66,152.44,84.55,99.0,24.0,4.83
529,padang,id,-0.92,100.36,80.5,100.0,76.0,6.17
530,rudbar,af,30.15,62.6,75.37,20.0,44.0,7.4
532,kilindoni,tz,-7.91,39.67,82.3,99.0,0.0,13.67
533,seoul,kr,37.57,126.98,58.24,54.0,75.0,12.75
534,nanzhang,cn,31.78,111.84,57.73,89.0,76.0,2.82
535,bulungu,cd,-4.54,18.6,68.62,93.0,0.0,2.71
536,necochea,ar,-38.55,-58.74,53.59,89.0,32.0,7.29
537,teya,ru,60.37,92.63,30.46,58.0,12.0,7.52
538,gizo,sb,-8.1,156.84,80.86,100.0,68.0,3.27
541,swellendam,za,-34.02,20.44,57.2,76.0,12.0,8.05
542,okato,nz,-39.19,173.88,59.44,100.0,88.0,14.79
543,mezen,ru,65.85,44.24,18.67,84.0,24.0,2.59
544,saint-francois,gp,16.25,-61.27,77.0,83.0,75.0,6.93
545,sistranda,no,63.73,8.83,42.8,93.0,75.0,8.05
546,adeje,es,28.12,-16.73,60.1,77.0,20.0,6.93
547,xining,cn,36.62,101.77,42.25,76.0,88.0,3.27
548,martapura,id,-3.41,114.85,81.58,96.0,48.0,4.38
549,teguise,es,29.06,-13.56,61.96,98.0,76.0,15.46
550,aitape,pg,-3.15,142.36,84.19,92.0,32.0,4.61
552,nouadhibou,mr,20.93,-17.03,62.6,88.0,0.0,14.99
553,vila velha,br,-3.71,-38.6,77.0,94.0,75.0,9.17
554,novi sanzhary,ua,49.33,34.31,38.02,57.0,0.0,8.63
555,valparaiso,cl,-33.04,-71.63,53.33,82.0,75.0,3.36
556,tinos,gr,37.54,25.16,58.1,76.0,0.0,5.82
557,pangody,ru,65.85,74.49,19.93,88.0,88.0,14.0
558,pascagoula,us,30.37,-88.56,60.82,72.0,1.0,8.05
559,buraydah,sa,26.33,43.97,69.8,49.0,0.0,5.82
560,srivardhan,in,18.03,73.02,79.24,79.0,0.0,4.38
561,virginia beach,us,36.85,-75.98,56.48,67.0,20.0,9.17
562,los llanos de aridane,es,28.66,-17.92,64.4,77.0,76.0,20.8
563,kysyl-syr,ru,63.9,122.77,27.13,51.0,76.0,13.33
564,languyan,ph,5.26,120.08,85.18,98.0,32.0,3.38
565,thinadhoo,mv,0.53,72.93,85.45,100.0,92.0,14.23
566,arkhara,ru,49.42,130.09,65.92,41.0,48.0,5.39
567,khor,ru,47.88,134.96,63.94,46.0,32.0,12.21
568,tabou,ci,4.42,-7.36,81.67,100.0,8.0,8.63
569,clyde river,ca,70.47,-68.59,1.4,77.0,40.0,18.34
570,zhuravky,ua,45.13,35.22,50.26,92.0,0.0,3.49
571,manokwari,id,-0.87,134.08,82.48,100.0,20.0,3.71
573,matay,eg,28.42,30.79,54.58,72.0,0.0,8.41
575,huilong,cn,31.15,106.5,64.57,100.0,100.0,8.75
576,sabang,id,1.17,120.82,81.4,100.0,24.0,5.84
577,patria,ph,11.74,122.02,84.1,95.0,0.0,11.21
578,los angeles,cl,-27.31,-70.51,57.2,82.0,20.0,4.7
579,cristalina,br,-16.77,-47.61,64.12,86.0,8.0,5.39
580,pevek,ru,69.7,170.27,19.03,91.0,0.0,5.39
581,salinas,ec,0.49,-78.13,49.18,100.0,20.0,0.36
582,nalvo,ph,16.81,120.51,77.8,84.0,24.0,2.59
584,vilhena,br,-12.74,-60.15,70.42,95.0,20.0,1.59
585,mount gambier,au,-37.83,140.78,70.78,76.0,68.0,5.73
586,salinopolis,br,-0.61,-47.36,79.78,100.0,92.0,7.96
587,lardos,gr,36.09,28.02,60.8,77.0,0.0,5.82
588,vostok,ru,46.45,135.83,57.73,45.0,0.0,2.93
589,mitsamiouli,km,-11.38,43.28,80.6,74.0,20.0,12.75
590,nakasongola,ug,1.32,32.46,64.93,95.0,36.0,2.93
591,caravelas,br,-17.73,-39.27,78.7,100.0,68.0,10.65
592,livingston,us,30.71,-94.93,59.45,87.0,1.0,3.6
593,port-cartier,ca,50.03,-66.88,30.2,74.0,20.0,13.0
594,omsukchan,ru,62.53,155.8,32.17,84.0,0.0,4.05
595,dicabisagan,ph,17.08,122.42,82.03,95.0,32.0,4.38
596,hwange,zw,-18.35,26.5,59.53,57.0,0.0,9.19
598,san matias,bo,-16.36,-58.4,77.26,67.0,20.0,4.72
599,hami,cn,42.84,93.51,74.92,33.0,48.0,5.84
600,ganta,lr,7.31,-8.54,71.86,94.0,12.0,3.15
601,kroya,id,-6.5,108.06,82.48,92.0,48.0,3.15
602,dogondoutchi,ne,13.64,4.03,71.86,56.0,0.0,2.71
603,ribnica,rs,43.72,20.69,46.4,93.0,0.0,1.12
604,mbini,gq,1.58,9.62,77.0,100.0,20.0,1.92
605,kupang,id,-10.16,123.6,87.07,80.0,0.0,15.46
606,son la,vn,21.32,103.9,84.73,65.0,0.0,1.92
607,makakilo city,us,21.35,-158.09,78.84,69.0,75.0,9.17
